,title,desc,exp,rating,cuisine_tags,img,url,cover_image,adress,post,location,more_desc,phone,social_url
10,MADO Fountain Square, ,$$,9.0,"səhər yeməyi, desert, dondurma",https://prod-wolt-venue-images-cdn.wolt.com/5ec38fbe4833665373b42a68/042bac98-99a6-11ea-89c6-0a58647f8de2_img_1712.jpg,https://wolt.com/az/aze/baku/restaurant/mado-fountain-square,https://prod-wolt-venue-images-cdn.wolt.com/5ec38fbe4833665373b42a68/5e89ff8e-8643-11eb-a848-02719d7628c4_wolt_cover_site_8__novruz_.jpg,Mardanov Qardashlari 3,AZ1000 Baku,"https://maps.google.com/?q=40.37252723332921,49.84043136687561",MADO Restaurant aims to distribute good quality food and ice cream around the world and popularize it on global scale.,+994513300110,https://mado.az/
11,Livan Shaurma,Əsil Livan dadlı Şaurmanı bizdə Dad!,$,8.6,"şaurma, kartof fri, salat",https://prod-wolt-venue-images-cdn.wolt.com/5fa4f261499afeabb74ef8e7/7a5c9f0a-200e-11eb-8769-5e4a79cfc8a9_3.saurma_kumpir_7.90azn.png,https://wolt.com/az/aze/baku/restaurant/livan-shaurma,https://prod-wolt-venue-images-cdn.wolt.com/5fa4f261499afeabb74ef8e7/8a30712c-200e-11eb-9710-4697b53232e0_9.arabiyan_saurma_4.90azn_.png,"Yusif Mammadaliyev Str. 26, Baku 1005, Azerbaijan",AZ1005 Baku,"https://maps.google.com/?q=40.37147140819272,49.83875185648157",Əsil Livan dadlı Şaurmanı bizdə Dad!,+994555335707,https://wolt.com/en/discovery
12,The House Cafe,"Timeless taste, Everlasting warmth.",$$$,9.0,"pizza, lemonad, içkilər",https://prod-wolt-venue-images-cdn.wolt.com/5fcfd14993fcde85bfb71d82/1109ca22-398c-11eb-a829-e62860725d8a_img_0037.jpg,https://wolt.com/az/aze/baku/restaurant/the-house-cafe,https://prod-wolt-venue-images-cdn.wolt.com/5fcfd14993fcde85bfb71d82/33f18994-398c-11eb-888e-269929e61e2a_noodles.jpg,Tarlan Aliyarbayov 14,AZ1005 Baku,"https://maps.google.com/?q=40.37065434227834,49.83775411715665","Timeless taste, Everlasting warmth.",+994512550084,https://www.instagram.com/thehousecafe.baku/?hl=en
13,Pizza da Roma,Mükəmməl zövq balansı ,$$$,9.2,"pasta, pizza",https://prod-wolt-venue-images-cdn.wolt.com/5e8c47dcf31c0326af7fa34c/047c36c4-7b45-11ea-9b26-0a5864659005_myasnaya%20pizza.JPG,https://wolt.com/az/aze/baku/restaurant/pizza-da-roma,https://prod-wolt-venue-images-cdn.wolt.com/5e8c47dcf31c0326af7fa34c/0b251b06-78b3-11ea-966f-0a586464850f_Alle%20Verdure.JPG,"Sabail district, Rasul Rza str. 25",AZ1000 Baku,"https://maps.google.com/?q=40.37138592691706,49.839508654950905","Şef- aşpazımız qeyd etdiyi kimi pizzanın sirri sousda, pendirdə və ya doldurucularda deyil, yalnız düzqün undan hazırlanmış xəmirdədir",+994505974000,https://www.facebook.com/Pizza-da-Roma-Baku-102514004649755/
14,O’Kööz Grill and Сhill,The Spicy Grill,$$,,"qril, pizza, lahmacun",https://prod-wolt-venue-images-cdn.wolt.com/6035f56b74e6e4ab22fc3cc0/022441b0-7742-11eb-bbd3-760e22d0793c_lu_l___t.jpg,https://wolt.com/az/aze/baku/restaurant/okz-grill-and-hill,https://prod-wolt-venue-images-cdn.wolt.com/6035f56b74e6e4ab22fc3cc0/f2dede04-7741-11eb-bbd3-760e22d0793c_toyuq_langet.jpg,Sabail ray. Nizami str. 77,AZ1000 Baku,"https://maps.google.com/?q=40.37291,49.839585",The Spicy Grill,+994504774444,https://www.facebook.com/kozplusbaku/?ref=page_internal
15,Prive Steak Gallery,#Weloveprive #Welovemeat,$$$,9.0,"steyk, steykhaus",https://prod-wolt-venue-images-cdn.wolt.com/5f250d0555a717aba483cb4a/3ed3d810-d3f4-11ea-bb89-2226a0ec1ad4_img_7508.jpg,https://wolt.com/az/aze/baku/restaurant/prive-steak-house,https://prod-wolt-venue-images-cdn.wolt.com/5f250d0555a717aba483cb4a/46259e64-d3f4-11ea-bae5-7a28adad8722_img_7518.jpg,"Sabail District, Khagani 14A",AZ1000 Baku,"https://maps.google.com/?q=40.37228398079378,49.84161210528014",#Weloveprive #Welovemeat,+994502687338,http://www.privebaku.com/
16,Prive Shop,#Weloveprive #Welovemeat,$$$,9.2,"shop, ət, steyk",https://prod-wolt-venue-images-cdn.wolt.com/5f2d184401afb21ec6c0e159/dcead940-d8c2-11ea-8d6c-f20a55234a95_t_bone_steak.jpg,https://wolt.com/az/aze/baku/restaurant/prive-steak-gastronomy,https://prod-wolt-venue-images-cdn.wolt.com/5f2d184401afb21ec6c0e159/e03895ce-d8c2-11ea-afd3-f20a55234a95_dana_can__ti.jpg,Bu virtual məkandır ,AZ1000 Baku,"https://maps.google.com/?q=40.37230032835964,49.841684524919096",#Weloveprive #Welovemeat,+994502687338,http://www.privebaku.com/
17,Merkez Lahmacun,Türk Mətbəxi,$$,8.8,"dönər, lahmacun, kəbab",https://prod-wolt-venue-images-cdn.wolt.com/5db93e885640fdd54681e321/02ab2f778467284200b5ddad0858b647,https://wolt.com/az/aze/baku/restaurant/merkez-lahmacun,https://prod-wolt-venue-images-cdn.wolt.com/5db93e885640fdd54681e321/4154e554096c59988b3d04651d81f21b,H.Z. Taghiyev str. 16/18,AZ1000 Baku,"https://maps.google.com/?q=40.37120032372871,49.83797818422317",Türk Mətbəxi,+994124933536,https://www.facebook.com/merkezlahmacunn/
18,Sweet Levantine,Hər gün Levantine günüdür.,$$,9.0,"şirniyyat, un məmulatları, künefe",https://prod-wolt-venue-images-cdn.wolt.com/5f902efbdbdbbc3cfbcd56a9/f6e7ad68-139c-11eb-84fe-0e73cefaefbe_photo_2020_10_21_16_52_27.jpg,https://wolt.com/az/aze/baku/restaurant/sweet-levantine,https://prod-wolt-venue-images-cdn.wolt.com/5f902efbdbdbbc3cfbcd56a9/17068eac-139d-11eb-9a18-2257f61080cf_photo_2020_10_21_16_52_27.jpg,Yusif Mammadaliyev 42A,AZ1005 Baku,"https://maps.google.com/?q=40.3715391820398,49.838661088102356",Hər gün Levantine günüdür.,+994514443444,https://www.facebook.com/sweetlevantine/
19,Nutelland,Sizin şirin məkan ,$$,8.8,"blinçik, vafli, pankeyk",https://prod-wolt-venue-images-cdn.wolt.com/5fbb7139b112583cea426e77/7b4d375e-31b0-11eb-badb-328cad406ca3_img_7936.jpg,https://wolt.com/az/aze/baku/restaurant/nutelland,https://prod-wolt-venue-images-cdn.wolt.com/5fbb7139b112583cea426e77/837f19ba-31b0-11eb-ae30-328cad406ca3_img_7869.jpg,"Yusif Mamedaliyev str., 25B",AZ1005 Baku,"https://maps.google.com/?q=40.37135410000002,49.83868659999999",Sizin şirin məkan ,+994507722255,https://www.instagram.com/nutellandbaku/
20,Yarpaq Doner,Halal və təbii ətdən hazırlanmış dönərlər 🥙,$$,8.0,"şaurma, kartof fri, kəbab",https://prod-wolt-venue-images-cdn.wolt.com/5f478114767a2dc76cf8779f/d8e9baf6-f423-11ea-8efb-6a7810a3cd7c_img_9021.jpg,https://wolt.com/az/aze/baku/restaurant/yarpaq-doner,https://prod-wolt-venue-images-cdn.wolt.com/5f478114767a2dc76cf8779f/dfb1eb92-f423-11ea-9d0b-8aa2020aad7a_img_9024.jpg,Uzeyir Hajibeyov street 8,AZ1005 Baku,"https://maps.google.com/?q=40.3711240137259,49.841165288369396",Halal və təbii ətdən hazırlanmış dönərlər 🥙,+994506601010,https://www.instagram.com/yarpaq.doner/?igshid=vb1xh89xwl34
21,Cadoro,Belçika və İtalyan şokolad və şirniyyatlar,$$$,8.8,"şirniyyatlar, dondurma, tort",https://prod-wolt-venue-images-cdn.wolt.com/5f33daca0809d99953679db3/583e66fa-e081-11ea-a0f5-eaf8295523bd_img_2451.jpg,https://wolt.com/az/aze/baku/restaurant/cadoro,https://prod-wolt-venue-images-cdn.wolt.com/5f33daca0809d99953679db3/4d23940e-e07a-11ea-8cc1-eaf8295523bd_img_7921_1_copy.jpg,"Sabail distr., Rasul Rza street 6",AZ1014 Baku,"https://maps.google.com/?q=40.3706792334722,49.84054294868828",Belçika və İtalyan şokolad və şirniyyatlar,+994124939944,https://www.instagram.com/cadoroshop/?hl=ru
22,Happy Moon's,Kocaman Mutlu Lezzetler,$$,8.4,"burgers, pizza, pasta",https://prod-wolt-venue-images-cdn.wolt.com/5fcd0e8252349c246f513047/59fcf1a2-3958-11eb-9ca3-6a5557c1f2f0_du_ru_m___sandvic____krep_genel.jpg,https://wolt.com/az/aze/baku/restaurant/happy-moons,https://prod-wolt-venue-images-cdn.wolt.com/5fcd0e8252349c246f513047/a311a5ea-3958-11eb-b2b4-6a5557c1f2f0_arizona_chicken.jpg,Nizami str. 69,AZ1005 Baku,"https://maps.google.com/?q=40.371961292523245,49.83783452014851",Kocaman Mutlu Lezzetler,+994506818171,https://www.instagram.com/happymoonscafebaku/
23,Kinder Ville Cafe,Xanımlarınızı və uşaqlarınızı Kinder dessertləri ilə sevindirin 🍫,$,8.6,"vafli, blinçik, pankeyk",https://prod-wolt-venue-images-cdn.wolt.com/5fd4f10ecd898804bcca09c0/f7ef8cd4-3dfa-11eb-9122-3af46b88bb94__mg_5925.jpg,https://wolt.com/az/aze/baku/restaurant/kinder-ville-cafe,https://prod-wolt-venue-images-cdn.wolt.com/5fd4f10ecd898804bcca09c0/0d249ab8-3dfb-11eb-87ba-9a0ed4fc35aa__mg_5888.jpg,Haji Zeynalabdin Tagiyev str. 14,AZ1005 Baku,"https://maps.google.com/?q=40.37056649673723,49.8385769533892",Xanımlarınızı və uşaqlarınızı Kinder dessertləri ilə sevindirin 🍫,+994702600009,https://www.instagram.com/kindervillecafe/
24,Mushu, ,,8.2,,https://prod-wolt-venue-images-cdn.wolt.com/5ebb257dbf0b5a4b319447f1/376374c8-98d5-11ea-8c02-0a58647f82c2_img_2545.jpg,https://wolt.com/az/aze/baku/restaurant/mushubaku,https://prod-wolt-venue-images-cdn.wolt.com/5ebb257dbf0b5a4b319447f1/342de072-98d5-11ea-937c-0a5864710033_img_2559.jpg,"Sabail district, Niyazi str. 5",AZ1000 Baku,"https://maps.google.com/?q=40.370812688819534,49.83807716586873",Asian Restaurant,+994508006565,https://mushu.az/
25,Mozzarella Nizami Küç. ,"Müasir Avropa Restoranı
",$$$,9.6,"içkilər, avropa, pizza",https://prod-wolt-venue-images-cdn.wolt.com/5e7dd634bbfa56e39062e074/f511b936-7016-11ea-94f8-0a58647f8730_IMG_1773.jpg,https://wolt.com/az/aze/baku/restaurant/mozzarella-nizami-str,https://prod-wolt-venue-images-cdn.wolt.com/5e7dd634bbfa56e39062e074/00535566-7017-11ea-94f8-0a58647f8730_IMG_1777.jpg,Nizami Str. 80A,AZ1000 Baku,"https://maps.google.com/?q=40.37285097151832,49.84054106856597","Sevimli yeməklərinizin əla bişirilib gözəl təqdim olunduğu məkan.
",+994514364848,https://www.instagram.com/mozzarella_baku/
26,Senior Mansimo Molokan Park,"Dadlı desertlər, kofe, milkşeyk, limonad və dondurması bizim kafelərdədir.
",$$,,"kofe, Ammos Café och Creperi, vafli",https://prod-wolt-venue-images-cdn.wolt.com/5f97e3f2784ade598b30bfe6/f94bae00-3b93-11eb-9e58-6650e15e2582_image_11_12_20_12_12.jpeg,https://wolt.com/az/aze/baku/restaurant/senior-mansimo-molokan-park,https://prod-wolt-venue-images-cdn.wolt.com/5f97e3f2784ade598b30bfe6/361ad52c-18f3-11eb-9b4a-e288170cec2d_img_7055.jpg,Khagani str. 6A,az1000 Baku,"https://maps.google.com/?q=40.372106149787726,49.840892106080325","Dadlı desertlər, kofe, milkşeyk, limonad və dondurması bizim kafelərdədir.
",+994503052166,https://www.facebook.com/pg/seniormansimo/about/?ref=page_internal
27,Tantuni & Pilaf,Boranı sizləri həm xidmət həm qida tərəfindən razı salacaq,$$,8.8,"qamburger, türk, Çizburger",https://prod-wolt-venue-images-cdn.wolt.com/5dcc1ce1f870d7d8fa35a444/21664590204babcf7e32aa82ef741faa,https://wolt.com/az/aze/baku/restaurant/borani-fountain-square,https://prod-wolt-venue-images-cdn.wolt.com/5dcc1ce1f870d7d8fa35a444/e575914b7d3f1004527d79c90f65222a,Nigar Rafibeyli 26a,AZ1005 Baku,"https://maps.google.com/?q=40.37178642822319,49.83848369762336",Boranı restoranı ailənin istrahəti üçün bir məkan kimi ziyarətçilərə açıqdır. Restoranın personalı sizi həm qida həm xidmət tərəfindən razı salacaq,+994555055787,http://wolt.com
28,Ormado Kaffeehaus,Ormado Kaffeehaus - yalnız öz qovurma məhsullarından istifadə edir.,$$,9.2,"kofe, desert, sendviç",https://prod-wolt-venue-images-cdn.wolt.com/5daff352b9fc9342b7d4416e/1086fe330f479e457d51a672b7cda1a6,https://wolt.com/az/aze/baku/restaurant/ormado-kaffehaus,https://prod-wolt-venue-images-cdn.wolt.com/5daff352b9fc9342b7d4416e/883dda49c515348caa0877fcf82d25a9,Yusif Mammadaliyev str. 23-29,AZ1000 Baku,"https://maps.google.com/?q=40.371091316836576,49.83886241901928",Ormado Kaffeehaus-a xoş gəlmisiniz. Biz yalnız öz qovurma məhsullarımızdan premium qəhvəyə xidmət edirik və ən yaxşı qəhvə ləzzətini veririk. Yeni hazırlanmış tort və bişmiş ixtisaslarımız üçün şirin və ya ləzzətli səhər yeməyimizi də təqdim edirik. İsti və ya soyuq bir qəhvə ixtisası ilə daxili vafli yaradıcılığımızı sınayın və mühitimizdə dincəlin.,+994502535563,https://ormado.de/az/
29,Burger House,Əfsanəvi Burgerlərin Evi,$$$,8.0,"burger, toyuq, pasta",https://prod-wolt-venue-images-cdn.wolt.com/5e3979d7bf8d7033d41ac3e3/0d975b4e-4f08-11ea-8fc6-0a5864600525_b.jpg,https://wolt.com/az/aze/baku/restaurant/burger-house-baku,https://prod-wolt-venue-images-cdn.wolt.com/5e3979d7bf8d7033d41ac3e3/14e073cc-4f08-11ea-8891-0a5864774035_DSC00578.jpg,H.Z Taghiyev 16/18,AZ1005 Baku,"https://maps.google.com/?q=40.37112972086836,49.83800273289002",Əfsanəvi Burgerlərin Evi,+994124986878,https://www.facebook.com/burgerhousebaku/
30,The Academy Cafe,The academy of delicious food!,$$,8.4,"sup, salat, pasta",https://prod-wolt-venue-images-cdn.wolt.com/5f3bbd63a9bff05b3ace3fc3/3b4633d2-ec1d-11ea-8641-9a610a266197_img_8034.jpg,https://wolt.com/az/aze/baku/restaurant/the-academy-cafe,https://prod-wolt-venue-images-cdn.wolt.com/5f3bbd63a9bff05b3ace3fc3/4574af3c-ec1d-11ea-a67e-9a610a266197_img_8006.jpg,Nizami str.64B,AZ1005 Baku,"https://maps.google.com/?q=40.37248682383355,49.83864813045007",The academy of delicious food!,+994124980247,https://wolt.com/
31,Tavada,İndi sizə daha yaxın!,$$,6.4,"azərbəycan, qril, pizza",https://prod-wolt-venue-images-cdn.wolt.com/5fe5a38e8d50551ec53c21a2/dde96548-5255-11eb-af4f-b25435160aac__48.jpg,https://wolt.com/az/aze/baku/restaurant/tavada,https://prod-wolt-venue-images-cdn.wolt.com/5fe5a38e8d50551ec53c21a2/ae4ca1a6-46cf-11eb-8fa2-1a5a308fc36b_antrikot_kabab.jpg,"7 Khagani Street, Baku",AZ1000 Baku,"https://maps.google.com/?q=40.372264635551595,49.840530398495574",İndi sizə daha yaxın!,+994552149433,https://www.instagram.com/tavada_restaurant/
32,Pizza Inn,"Pizza, Hamburger, Salatlar, Yerli və Avropa Mətbəxinin Yeməkləri",$$$,9.2,"pizza, kəbab, qril",https://prod-wolt-venue-images-cdn.wolt.com/5d400a43b7d976e5caaaafc2/02defcba6e219e666eccf23d94a5d2bb,https://wolt.com/az/aze/baku/restaurant/pizza-inn,https://prod-wolt-venue-images-cdn.wolt.com/5d400a43b7d976e5caaaafc2/bd7c44a29b1e2f6d407d2150a66890ab,Fountains Square 8,AZ1005 Baku,"https://maps.google.com/?q=40.37131475842516,49.838077425956726","Pizzas, Burgers, Salads and Dishes of Local and European Cuisine",+994124938216,https://www.facebook.com/PizzaInnBaku/
33,Hollywood,İnsanların xoş vaxt keçirə biləcəyi və ləzzətli yeməklərdən ləzzət alacağı məkan,$$$,,"beyondmeat, yağlı toyuq, balıq",https://prod-wolt-venue-images-cdn.wolt.com/5e8da0c8f79f1473438a3828/13a8fc4e-7f0b-11ea-b5e8-0a5864675a06_toyuq_tagliatelle.jpg,https://wolt.com/az/aze/baku/restaurant/hollywood,https://prod-wolt-venue-images-cdn.wolt.com/5e8da0c8f79f1473438a3828/1fa40a3e-7f0b-11ea-8a5a-0a58647f87ac__t_langet.jpg,Yusif Mammedaliyev str. 19,AZ1000 Baku,"https://maps.google.com/?q=40.37159306436577,49.83863509035206",İnsanların xoş vaxt keçirə biləcəyi və ləzzətli yeməklərdən ləzzət alacağı məkan,+994503019061,https://wolt.com/
34,212 Dönər,Doner Boutique,$,8.8,"dana əti, dönər, kartof fri",https://prod-wolt-venue-images-cdn.wolt.com/5eb00ab1a4197a0216ab45cf/da22cf6c-9059-11ea-ae01-0a58646e6639_whatsapp_image_2020_05_06_at_15.27.36.jpeg,https://wolt.com/az/aze/baku/restaurant/212-doner,https://prod-wolt-venue-images-cdn.wolt.com/5eb00ab1a4197a0216ab45cf/ef074994-9059-11ea-a5ae-0a58646e6639_whatsapp_image_2020_05_06_at_15.27.36.jpeg,Nizami Str. 77,AZ1000 Baku,"https://maps.google.com/?q=40.37272392118317,49.83920249938846",Doner Boutique,+994557241212,https://www.facebook.com/212Doner
35,Corner Eatery & Cafe , ,$$$,8.8,"burger, desert, hotdoq",https://prod-wolt-venue-images-cdn.wolt.com/5e96e27402c8dfb73ce6ab2e/6af41972-1ce3-11eb-9278-c2de9044bd8d_corner_wolt_cover.jpg,https://wolt.com/az/aze/baku/restaurant/nizami-62,https://prod-wolt-venue-images-cdn.wolt.com/5e96e27402c8dfb73ce6ab2e/060496fc-7f06-11ea-9c28-0a58647e8a8f_img_2941.jpg,Nizami 62,AZ1005 Baku,"https://maps.google.com/?q=40.37205511551817,49.83801559115582",...,+994505650062,https://www.instagram.com/st.nizami62/?hl=en
36,Köz Plus Nizami,Közdə bişən ləzzətlər,$$,8.4,"dönər, içkilər, köftə",https://prod-wolt-venue-images-cdn.wolt.com/5f93ee15720dc5cc27853b92/f495ba8a-15d8-11eb-b6ce-3aeffceb8ae1_shaurma.jpg,https://wolt.com/az/aze/baku/restaurant/koz-plus-nizami,https://prod-wolt-venue-images-cdn.wolt.com/5f93ee15720dc5cc27853b92/d2586a8a-15d8-11eb-8fde-f20336f92d0a_tantuni.png,Sabail ray. Nizami str. 77,AZ1000 Baku,"https://maps.google.com/?q=40.372836436601354,49.839338236773145",Közdə bişən ləzzətlər,+994504774444,https://www.facebook.com/kozplusbaku/?ref=page_internal
37,Wok No 1,Əsl Asianın dadını bizimlə dad!,$$,8.2,"asiya, nudls, roll",https://prod-wolt-venue-images-cdn.wolt.com/600a7adf3c431209f3cf2971/094a086a-5ef8-11eb-8eca-5e2d18086928_image_from_ios__1_.png,https://wolt.com/az/aze/baku/restaurant/wok-no-1,https://prod-wolt-venue-images-cdn.wolt.com/600a7adf3c431209f3cf2971/10c38472-5ef8-11eb-aba6-5e2d18086928_image_from_ios__1_.png,Tagıyev 14,AZ1000 Baku,"https://maps.google.com/?q=40.370838118007526,49.838396684702154",Əsl Asianın dadını bizimlə dad!,+994125983711,Dəstək söhbətini aç
38,Malakan Sushi,"""Premium klass"" təsəvvürünü bizimlə dəyişin",$$,,"suşi, sprinqrol, maki",https://prod-wolt-venue-images-cdn.wolt.com/60472c2b0d8782d460d2bf9a/df077f0a-826b-11eb-84e5-02f02aff312f_gril_set.jpg,https://wolt.com/az/aze/baku/restaurant/malakan-oishi-sushi,https://prod-wolt-venue-images-cdn.wolt.com/60472c2b0d8782d460d2bf9a/e48bed08-826b-11eb-bec8-02f02aff312f_black_dragon.jpg,Rasul Rza 19,AZ1000 Baku,"https://maps.google.com/?q=40.3707986,49.840152","""Premium klass"" təsəvvürünü bizimlə dəyişin",+994558222732,https://www.instagram.com/sushi_oishi_malakan/
